R	09:40:00	10:55:00	GRGEN 110	17476
T	12:30:00	13:45:00	MOREY 205	17487
R	12:30:00	13:45:00	MOREY 205	17487
M	17:00:00	18:30:00	SAUND 1412	17493
T	09:40:00	10:55:00	GRGEN 110	17505
R	09:40:00	10:55:00	GRGEN 110	17505
M	15:25:00	16:40:00	DEWEY 2110D	17518
W	15:25:00	16:40:00	DEWEY 2110D	17518
T	12:30:00	13:45:00	HARK 210	17520
R	12:30:00	13:45:00	HARK 210	17520
T	15:25:00	16:40:00	GRGEN 101	17536
R	15:25:00	16:40:00	GRGEN 101	17536
T	11:05:00	12:20:00	GRGEN 109	17554
R	11:05:00	12:20:00	GRGEN 109	17554
R	15:00:00	16:30:00	GRGEN 205	17591
M	09:00:00	09:50:00	HYLAN 101	17748
W	09:00:00	09:50:00	HYLAN 101	17748
F	09:00:00	09:50:00	HYLAN 101	17748
T	17:50:00	20:50:00	SCHGL 102	18458
R	17:50:00	20:50:00	SCHGL 102	18458
T	16:50:00	18:05:00	DEWEY 4162	19079
R	16:50:00	18:05:00	DEWEY 4162	19079
M	18:15:00	19:30:00	LATT 431	19082
W	18:15:00	19:30:00	LATT 431	19082
F	11:50:00	12:40:00	DEWEY 4162	19098
R	16:50:00	18:05:00	GRGEN 110	19104
R	16:50:00	18:05:00	B&L 315	19110
W	16:50:00	18:05:00	LATT 210	19128
W	16:50:00	18:05:00	MEL 219	19132
R	14:00:00	16:40:00	 	19149
M	15:25:00	16:40:00	 	19155
W	15:25:00	16:40:00	 	19155
M	18:30:00	19:30:00	DEWEY 2110D	19161
W	18:30:00	19:30:00	DEWEY 2110D	19161
T	15:25:00	16:40:00	HUTCH 316	19213
F	14:00:00	15:30:00	CSB 209	19262
F	14:00:00	15:30:00	CSB 209	19341
F	14:00:00	15:15:00	DEWEY 4162	19469
W	15:30:00	17:00:00	MED CNTR	19578
M	15:25:00	16:40:00	TODD 202	23927
W	15:25:00	16:40:00	TODD 202	23927
M	16:50:00	18:05:00	RRLIB 442	23940
W	16:50:00	18:05:00	RRLIB 442	23940
M	12:30:00	13:45:00	MOREY 321	24325
W	12:30:00	13:45:00	MOREY 321	24325
T	15:25:00	16:40:00	MOREY 321	24344
R	15:25:00	16:40:00	MOREY 321	24344
T	12:30:00	13:45:00	HUTCH 140	24379
R	12:30:00	13:45:00	HUTCH 140	24379
T	14:00:00	15:15:00	DEWEY 2162	24398
R	14:00:00	15:15:00	DEWEY 2162	24398
M	14:00:00	15:15:00	GAVET 310	24410
T	18:15:00	19:30:00	GAVET 312	24461
R	18:15:00	19:30:00	GAVET 312	24461
T	16:50:00	18:05:00	GAVET 312	24476
R	16:50:00	18:05:00	GAVET 312	24476
W	18:15:00	20:45:00	GAVET 312	24487
R	18:15:00	20:45:00	MEL 224	24493
M	09:00:00	10:15:00	HUTCH 473	24505
W	09:00:00	10:15:00	HUTCH 473	24505
T	18:15:00	19:30:00	GAVET 312	24520
R	18:15:00	19:30:00	GAVET 312	24520
M	16:50:00	18:05:00	GAVET 312	24536
W	16:50:00	18:05:00	GAVET 312	24536
M	11:50:00	12:40:00	B&L 109	24673
W	11:50:00	12:40:00	B&L 109	24673
F	11:50:00	12:40:00	B&L 109	24673
M	09:00:00	10:15:00	HYLAN 202	24684
W	09:00:00	10:15:00	HYLAN 202	24684
T	09:40:00	10:55:00	GRGEN 110	24703
R	09:40:00	10:55:00	GRGEN 110	24703
M	16:50:00	18:05:00	GAVET 310	24712
W	16:50:00	18:05:00	GAVET 310	24712
T	11:05:00	12:20:00	HUTCH 138	24729
R	11:05:00	12:20:00	HUTCH 138	24729
T	18:15:00	19:30:00	GAVET 312	24730
R	18:15:00	19:30:00	GAVET 312	24730
W	18:15:00	20:45:00	GAVET 312	24748
R	18:15:00	20:45:00	MEL 224	24756
T	18:15:00	19:30:00	GAVET 312	24767
R	18:15:00	19:30:00	GAVET 312	24767
M	16:50:00	18:05:00	GAVET 312	24775
W	16:50:00	18:05:00	GAVET 312	24775
T	12:30:00	13:45:00	DEWEY 2110D	24781
R	12:30:00	13:45:00	DEWEY 2110D	24781
M	14:00:00	15:15:00	LCHAS 182	25446
W	14:00:00	15:15:00	LCHAS 182	25446
T	09:40:00	10:55:00	LCHAS 148	25458
R	09:40:00	10:55:00	LCHAS 148	25458
T	09:40:00	10:55:00	LCHAS 122	25460
R	09:40:00	10:55:00	LCHAS 122	25460
